wavelength,Grass,Conifer,Deciduous,Snow,Soil,Water,Conrete
0.484,4.31,5.068,6.068,98.55,6.739,4.0287,20.60
0.486,4.3268,5.09,6.09,98.55,6.728,3.9791,20.72
0.488,4.3348,5.129,6.129,98.54,7.1158,3.9223,20.84
0.49,4.3485,5.182,6.182,98.52,7.388,3.861,20.97
0.492,4.3605,5.249,6.249,98.5,7.2577,3.7965,21.09
0.494,4.3706,5.331,6.331,98.5,7.4519,3.7284,21.22
0.496,4.399,5.415,6.412,98.48,7.8207,3.6569,21.34
0.498,4.4595,5.519,6.442,98.46,7.9038,3.5843,21.46
0.5,4.5412,5.65,6.52,98.45,8.0263,3.5069,21.59
0.502,4.6444,5.822,6.627,98.44,8.4074,3.4261,21.72
0.504,4.7634,6.029,6.638,98.43,8.5583,3.3426,21.85
0.506,4.8893,6.27,6.747,98.42,8.5446,3.266,21.98
0.508,5.0719,6.611,6.856,98.41,8.8335,3.1963,22.12
0.51,5.3314,6.919,6.95,98.36,8.8195,3.1299,22.26
0.512,5.6175,7.247,7.16,98.34,9.133,3.0708,22.41
0.514,5.9142,7.685,7.458,98.34,9.5872,3.0211,22.55
0.516,6.2804,8.065,7.735,98.32,9.5647,2.9787,22.69
0.518,6.71,8.413,8.063,98.32,9.6855,2.942,22.84
0.52,7.1183,8.822,8.385,98.32,9.9808,2.9141,22.99
0.522,7.5386,9.143,8.697,98.3,9.9498,2.891,23.14
0.524,8.0256,9.435,9.125,98.28,10.4713,2.8686,23.29
0.526,8.4949,9.713,9.509,98.26,10.6898,2.8476,23.45
0.528,8.9023,9.981,9.901,98.24,11.0046,2.8271,23.60
0.53,9.2914,10.126,10.181,98.23,11.0713,2.8064,23.75
0.532,9.6696,10.271,10.373,98.2,11.3458,2.7863,23.91
0.534,9.9535,10.343,10.504,98.17,11.5001,2.7648,24.07
0.536,10.169,10.405,10.621,98.13,11.7833,2.7417,24.23
0.538,10.353,10.477,10.706,98.11,12.3427,2.7203,24.38
0.54,10.528,10.496,10.688,98.11,12.5038,2.7008,24.54
0.542,10.68,10.487,10.703,98.11,12.4779,2.6811,24.71
0.544,10.811,10.506,10.84,98.1,12.916,2.6577,24.88
0.546,10.912,10.511,10.919,98.1,13.2997,2.6348,25.04
0.548,10.98,10.487,10.928,98.1,13.3024,2.6136,25.21
0.55,11.022,10.467,10.936,98.15,13.7632,2.5951,25.38
0.552,11.064,10.408,10.898,98.15,13.9008,2.5757,25.56
0.554,11.11,10.295,10.788,98.15,14.0183,2.5558,25.73
0.556,11.123,10.197,10.653,98.15,14.2482,2.537,25.91
0.558,11.076,10.082,10.444,98.15,14.32,2.5198,26.08
0.56,10.975,9.865,10.172,98.1,15.3523,2.5036,26.26
0.562,10.843,9.655,9.937,98.04,15.3777,2.4878,26.44
0.564,10.682,9.421,9.687,98.04,15.9301,2.4734,26.61
0.566,10.507,9.096,9.38,98.03,15.9047,2.4574,26.77
0.568,10.29,8.788,9.119,98.02,15.9393,2.439,26.94
0.57,10.024,8.518,8.846,98.01,16.4212,2.4216,27.09
0.572,9.7302,8.268,8.55,98.01,16.5503,2.4033,27.25
0.574,9.4614,8.08,8.324,98,16.8781,2.383,27.39
0.576,9.1871,7.872,8.131,97.99,17.0995,2.3635,27.53
0.578,8.903,7.657,7.902,97.98,17.4558,2.3434,27.66
0.58,8.6963,7.459,7.775,97.9,17.6465,2.322,27.79
0.582,8.5306,7.321,7.653,97.85,17.3285,2.3005,27.91
0.584,8.3636,7.179,7.515,97.8,17.7129,2.2806,28.03
0.586,8.1922,7.029,7.478,97.75,17.7607,2.2621,28.14
0.588,8.0257,6.932,7.452,97.7,17.779,2.2432,28.25
0.59,7.8833,6.878,7.366,97.69,18.3797,2.2241,28.34
0.592,7.765,6.818,7.32,97.69,18.5047,2.2058,28.44
0.594,7.6732,6.77,7.295,97.68,18.4165,2.1894,28.53
0.596,7.5929,6.764,7.239,97.68,18.5438,2.1749,28.62
0.598,7.5385,6.771,7.164,97.68,18.8569,2.1608,28.70
0.6,7.4901,6.776,7.106,97.52,18.6518,2.1488,28.77
0.602,7.4273,6.689,7.025,97.5,18.8089,2.1398,28.84
0.604,7.3543,6.524,6.9,97.45,18.8605,#N/A,28.91
0.606,7.2815,6.295,6.756,97.4,19.0496,2.122,28.97
0.608,7.2092,6.136,6.635,97.35,19.2651,2.1178,29.03
