lambda (nm), TOA Flux (W/m2/nm)
432.5,1.691827
433.5,1.666013
434.5,1.627461
435.5,1.744883
436.5,1.838042
437.5,1.777141
438.5,1.704466
439.5,1.771405
440.5,1.84384
441.5,1.909172
442.5,1.963063
443.5,1.964107
444.5,1.961224
445.5,1.923997
446.5,1.907314
447.5,2.014688
448.5,2.035087
449.5,2.051226
450.5,2.138856
451.5,2.144159
452.5,2.039108
453.5,1.982826
454.5,2.069539
455.5,2.079343
456.5,2.131731
457.5,2.128286
458.5,2.071696
459.5,2.054746
460.5,2.082823
461.5,2.11154
462.5,2.127625
463.5,2.099809
464.5,2.049402
465.5,2.045755
466.5,2.025875
467.5,2.01129
468.5,2.043384
469.5,2.024567
470.5,1.991522
471.5,2.037059
472.5,2.096112
473.5,2.065262
474.5,2.106757
475.5,2.101821
476.5,2.069552
477.5,2.120016
478.5,2.11562
479.5,2.110432
480.5,2.096552
481.5,2.108744
482.5,2.085968
483.5,2.055602
484.5,2.027647
485.5,1.841745
486.5,1.73685
487.5,1.876938
488.5,1.932371
489.5,2.008112
490.5,2.03375
491.5,1.959396
492.5,1.951743
493.5,1.972187
494.5,2.016515
495.5,2.014235
496.5,2.003849
497.5,1.985028
498.5,1.949305
499.5,1.943236
500.5,1.909344
501.5,1.868642
502.5,1.905666
503.5,1.938972
504.5,1.92837
505.5,1.996583
506.5,2.024724
507.5,1.992305
508.5,1.959885
509.5,1.926122
510.5,1.902338
511.5,1.937277
512.5,1.913817
513.5,1.865089
514.5,1.838968
515.5,1.864513
516.5,1.734095
517.5,1.628694
518.5,1.688064
519.5,1.804357
520.5,1.835104
521.5,1.866373
522.5,1.826558
523.5,1.856482
524.5,1.910455
525.5,1.887205
526.5,1.725782
527.5,1.764769
528.5,1.875665
529.5,1.891896
530.5,1.916707
531.5,1.918155
532.5,1.894387
533.5,1.865668
534.5,1.869362
535.5,1.922516
536.5,1.876765
537.5,1.874565
538.5,1.884775
539.5,1.840184
540.5,1.801456
541.5,1.838671
542.5,1.858037
543.5,1.871688
544.5,1.886032
545.5,1.888499
546.5,1.886771
547.5,1.862656
548.5,1.869671
549.5,1.889873
550.5,1.878243
551.5,1.882917
552.5,1.877885
553.5,1.870421
554.5,1.887405
555.5,1.876037
556.5,1.83557
557.5,1.811288
558.5,1.785908
559.5,1.760062
560.5,1.801117
561.5,1.815745
562.5,1.793099
563.5,1.800104
564.5,1.802913
565.5,1.78529
566.5,1.784462
567.5,1.814178
568.5,1.798031
569.5,1.791477
570.5,1.771806
571.5,1.773043
572.5,1.840156
573.5,1.847249
574.5,1.829616
575.5,1.800965
576.5,1.806695
577.5,1.808398
578.5,1.782085
579.5,1.794008
580.5,1.808485
581.5,1.815392
582.5,1.8319
583.5,1.831921
584.5,1.816834
585.5,1.78257
586.5,1.777443
587.5,1.800199
588.5,1.729576
589.5,1.65459
590.5,1.732878
591.5,1.772309
592.5,1.77467
593.5,1.770494
594.5,1.774696
595.5,1.765264
596.5,1.775901
597.5,1.772308
598.5,1.754632
599.5,1.752921
600.5,1.740134
601.5,1.717762
602.5,1.723386
603.5,1.753102
604.5,1.757797
605.5,1.746132
606.5,1.737879
607.5,1.72912
608.5,1.711066
609.5,1.700068
610.5,1.699118
611.5,1.700262
612.5,1.690665
613.5,1.66798
614.5,1.665202
615.5,1.65052
616.5,1.618294
617.5,1.642134
618.5,1.665209
619.5,1.674124
620.5,1.687891
621.5,1.674841
622.5,1.663025
623.5,1.652356
624.5,1.636098
625.5,1.628986
626.5,1.659789
627.5,1.678807
628.5,1.678326
629.5,1.657827
630.5,1.648749
631.5,1.623927
632.5,1.642836
633.5,1.632607
634.5,1.636911
635.5,1.635102
636.5,1.629583
637.5,1.650947
638.5,1.648891
639.5,1.614808
640.5,1.600992
641.5,1.593294
642.5,1.609082
643.5,1.602672
644.5,1.603831
645.5,1.589006
646.5,1.589994
647.5,1.600203
648.5,1.594623
649.5,1.546392
650.5,1.600147
651.5,1.607358
652.5,1.58312
653.5,1.569207
654.5,1.543693
655.5,1.441038
656.5,1.323289
657.5,1.463442
658.5,1.533297
659.5,1.537584
660.5,1.549839
661.5,1.557839
662.5,1.551574
663.5,1.532061
664.5,1.535294
665.5,1.538229
666.5,1.528574
667.5,1.523615
668.5,1.532446
669.5,1.527596
670.5,1.505702
671.5,1.497642
672.5,1.492215
673.5,1.488461
674.5,1.484881
675.5,1.481457
676.5,1.478237
677.5,1.47521
678.5,1.47236
679.5,1.469652
680.5,1.467162
681.5,1.464856
682.5,1.462719
683.5,1.460761
684.5,1.458987
685.5,1.457401
686.5,1.455983
687.5,1.454744
688.5,1.456174
689.5,1.462937
690.5,1.457059
691.5,1.448689
692.5,1.442737
693.5,1.444292
694.5,1.43537
695.5,1.433196
696.5,1.43666
697.5,1.416324
698.5,1.432722
699.5,1.435751
700.5,1.415429
701.5,1.405502
702.5,1.410465
703.5,1.416384
704.5,1.430089
705.5,1.420064
706.5,1.402106
707.5,1.402881
708.5,1.389584
709.5,1.379499
710.5,1.384122
711.5,1.36442
712.5,1.358496
713.5,1.360684
714.5,1.357167
715.5,1.351388
716.5,1.356477
717.5,1.354156
718.5,1.335936
719.5,1.335763
720.5,1.337445
721.5,1.337286
722.5,1.334889
723.5,1.339806
724.5,1.335636
725.5,1.323677
726.5,1.326631
727.5,1.323396
728.5,1.298373
729.5,1.292162
730.5,1.315252
731.5,1.311506
732.5,1.309903
733.5,1.309352
734.5,1.309099
735.5,1.294626
736.5,1.290098
737.5,1.287825
738.5,1.258279
739.5,1.259567
740.5,1.251998
741.5,1.242064
742.5,1.260097
743.5,1.277927
744.5,1.264227
745.5,1.277032
746.5,1.27145
747.5,1.275221
748.5,1.267291
749.5,1.252333
752.5,1.251114
757.5,1.252582
762.5,1.236953
767.5,1.212904
772.5,1.201464
777.5,1.1722
782.5,1.163584
787.5,1.159342
792.5,1.118343
797.5,1.111586
802.5,1.100652
807.5,1.087233
812.5,1.091155
817.5,1.067256
822.5,1.049594
827.5,1.047988
832.5,1.020267
837.5,1.018479
842.5,1.000042
847.5,0.9791337
852.5,0.900221
857.5,0.9523551
862.5,0.9727043
867.5,0.9157437
872.5,0.94327
877.5,0.9435294
882.5,0.9241436
887.5,0.9172921
892.5,0.9138169
897.5,0.907348
902.5,0.8843329
907.5,0.8803499
912.5,0.8760708
917.5,0.8723269
922.5,0.8418657
927.5,0.8447796
932.5,0.8416599
937.5,0.8316922
942.5,0.8070024
947.5,0.8157784
952.5,0.8006867
957.5,0.7913666
962.5,0.7841989
967.5,0.7749268
972.5,0.7678869
977.5,0.7565473
982.5,0.7642863
987.5,0.7546006
992.5,0.7492503
997.5,0.7448931
1002.5,0.732568
1007.5,0.7202026
1012.5,0.7189069
1017.5,0.7040297
1022.5,0.6990815
1027.5,0.6937931
1032.5,0.6820914
1037.5,0.6740144
1042.5,0.6682112
1047.5,0.657325
1052.5,0.6524608
1057.5,0.642488
1062.5,0.6396689
1067.5,0.6268254
1072.5,0.6243422
1077.5,0.6220804
1082.5,0.6110039
1087.5,0.6102448
1092.5,0.6017867
1097.5,0.5923232
1102.5,0.5926547
1107.5,0.5879236
1112.5,0.5804886
1117.5,0.5762807
1122.5,0.5718843
1127.5,0.564042
1132.5,0.5611023
1137.5,0.5559193
1142.5,0.5483083
1147.5,0.5478644
1152.5,0.5427572
1157.5,0.5380222
1162.5,0.5230438
1167.5,0.5206627
1172.5,0.5189325
1177.5,0.5114861
1182.5,0.5058427
1187.5,0.5028992
1192.5,0.5047314
1197.5,0.4927078
1202.5,0.4927464
1207.5,0.4863044
1212.5,0.4836904
1217.5,0.4817772
1222.5,0.4765944
1227.5,0.4711128
1232.5,0.4664523
1237.5,0.461489
1242.5,0.4553674
1247.5,0.4547953
1252.5,0.4499898
1257.5,0.4460433
1262.5,0.4414753
1267.5,0.4364289
1272.5,0.4366781
1277.5,0.4383287
1282.5,0.4149505
1287.5,0.4271137
1292.5,0.4209921
1297.5,0.4165459
1302.5,0.4127693
1307.5,0.4143461
1312.5,0.4053752
1317.5,0.4028509
1322.5,0.4008502
1327.5,0.3940473
1332.5,0.3895872
1337.5,0.3858387
1342.5,0.3815727
1347.5,0.3780553
1352.5,0.3745317
1357.5,0.3701355
1362.5,0.3685758
1367.5,0.3650934
1372.5,0.3625562
1377.5,0.3595594
1382.5,0.3568717
1387.5,0.3545517
1392.5,0.3519463
1397.5,0.3493706
1402.5,0.3450975
1407.5,0.343953
1412.5,0.33949
1417.5,0.3394108
1422.5,0.3338572
1427.5,0.3295916
1432.5,0.3302861
1437.5,0.3282094
1442.5,0.3209204
1447.5,0.322043
1452.5,0.3171913
1457.5,0.3165126
1462.5,0.3138171
1467.5,0.3124791
1472.5,0.3081509
1477.5,0.3064641
1482.5,0.3061545
1487.5,0.2982953
1492.5,0.3022485
1497.5,0.3011266
1502.5,0.2908938
1507.5,0.2905504
1512.5,0.2920968
1517.5,0.2889414
1522.5,0.2855505
1527.5,0.2841443
1532.5,0.2814387
1537.5,0.2788531
1542.5,0.2771982
1547.5,0.275216
1552.5,0.2717518
1557.5,0.2696203
1562.5,0.269377
1567.5,0.2662185
1572.5,0.264022
1577.5,0.2584256
1582.5,0.2617449
1587.5,0.2528476
1592.5,0.252387
1597.5,0.2540873
1602.5,0.2509932
1607.5,0.2477235
1612.5,0.2438478
1617.5,0.2411844
1622.5,0.2406737
1627.5,0.2418151
1632.5,0.2389842
1637.5,0.2316413
1642.5,0.2284241
1647.5,0.2296109
1652.5,0.227806
1657.5,0.2264982
1662.5,0.2246485
1667.5,0.2219816
1672.5,0.2199967
1677.5,0.2153252
1682.5,0.2109645
1687.5,0.2131428
1692.5,0.2123347
1697.5,0.2097986
1702.5,0.2063979
1707.5,0.2037143
1712.5,0.2020091
1717.5,0.2020818
1722.5,0.19855
1727.5,0.1980984
1732.5,0.1923468
1737.5,0.1876906
1742.5,0.1902708
1747.5,0.1881332
1752.5,0.1863416
1757.5,0.1848738
1762.5,0.1821925
1767.5,0.1811759
1772.5,0.1795776
1777.5,0.1769865
1782.5,0.1753301
1787.5,0.1745953
1792.5,0.172857
1797.5,0.1709801
1802.5,0.1695656
1807.5,0.1693204
1812.5,0.1665125
1817.5,0.1600605
1822.5,0.1609505
1827.5,0.1620664
1832.5,0.160016
1837.5,0.1576953
1842.5,0.1552879
1847.5,0.1539505
1852.5,0.1535906
1857.5,0.1522544
1862.5,0.1512978
1867.5,0.1504787
1872.5,0.144311
1877.5,0.1417539
1882.5,0.1465697
1887.5,0.1448361
1892.5,0.1413914
1897.5,0.1397372
1902.5,0.1399939
1907.5,0.1387327
1912.5,0.1373237
1917.5,0.1359083
1922.5,0.1348775
1927.5,0.1334273
1932.5,0.132407
1937.5,0.13178
1942.5,0.1266254
1947.5,0.1245648
1952.5,0.1274764
1957.5,0.127362
1962.5,0.1250526
1967.5,0.1237879
1972.5,0.1228239
1977.5,0.1212832
1982.5,0.1202349
1987.5,0.1197142
1992.5,0.1185788
1997.5,0.1173116
2002.5,0.1164148
2007.5,0.1156285
2012.5,0.1149976
2017.5,0.1135393
2022.5,0.1122678
2027.5,0.1111034
2032.5,0.1097055
2037.5,0.108621
2042.5,0.1079738
2047.5,0.1071067
2052.5,0.1057619
2057.5,0.1042767
2062.5,0.1029826
2067.5,0.1019451
2072.5,0.1013941
2077.5,0.1003838
2082.5,0.09927966
2087.5,0.0983481
2092.5,0.09724296
2097.5,0.09647585
2102.5,0.0963104
2107.5,0.09561222
2112.5,0.09471409
2117.5,0.09387036
2122.5,0.09304126
2127.5,0.0926737
2132.5,0.09210827
2137.5,0.09148519
2142.5,0.09081781
2147.5,0.09019984
2152.5,0.08960923
2157.5,0.08861105
2162.5,0.08565436
2167.5,0.08449323
2172.5,0.08521426
2177.5,0.08555724
2182.5,0.08485898
2187.5,0.08431809
2192.5,0.08378621
2197.5,0.08346229
2202.5,0.08220679
2207.5,0.08134431
2212.5,0.08077336
2217.5,0.08055872
2222.5,0.07969498
2227.5,0.07902435
2232.5,0.07829511
2237.5,0.07754875
2242.5,0.076713
2247.5,0.07606577
2252.5,0.07528228
2257.5,0.07454335
2262.5,0.07401333
2267.5,0.0734902
2272.5,0.07316048
2277.5,0.07234682
2282.5,0.07180779
2287.5,0.07126591
2292.5,0.07059658
2297.5,0.06994738
2302.5,0.06967742
2307.5,0.06940926
2312.5,0.06879397
2317.5,0.06795322
2322.5,0.06701772
2327.5,0.06638753
2332.5,0.06609152
2337.5,0.06578112
2342.5,0.06543795
2347.5,0.06476232
2352.5,0.06387473
2357.5,0.06328318
2362.5,0.06319944
2367.5,0.0628042
2372.5,0.06230995
2377.5,0.0615912
2382.5,0.06088515
2387.5,0.06032813
2392.5,0.06024334
2397.5,0.06016185
2402.5,0.05918719
2407.5,0.05849886
2412.5,0.05765976
2417.5,0.05710768
2422.5,0.05678198
2427.5,0.05668654
2432.5,0.05624365
2437.5,0.05588771
2442.5,0.05523815
2447.5,0.05465383
2452.5,0.05398095
2457.5,0.05383689
2462.5,0.05362205
2467.5,0.05334649
2472.5,0.05284246
2477.5,0.05217128
2482.5,0.05174344
2487.5,0.0514073
2492.5,0.05134445
2497.5,0.05122371
2502.5,0.0508209
2507.5,0.05037925
2512.5,0.04990109
2517.5,0.04957556
2522.5,0.04931891
2527.5,0.04900253
2532.5,0.04849362
2537.5,0.04792653
2542.5,0.04744491
2547.5,0.04704123
2552.5,0.04678033
2557.5,0.04645839
2562.5,0.04614694
2567.5,0.0459632
2572.5,0.04574813
2577.5,0.04531369
2582.5,0.04490467
2587.5,0.04453513
2592.5,0.04437232
2597.5,0.04436726
2602.5,0.04416845
2607.5,0.04398105
2612.5,0.04367212
2617.5,0.04288422
2622.5,0.04225023
2627.5,0.04201114
2632.5,0.04181503
2637.5,0.04206728
2642.5,0.04176973
2647.5,0.04135089
2652.5,0.04112799
2657.5,0.04061018
2662.5,0.04022275
